[2024-03-28 02:17:59] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= -13, Y= 58, Z= -64
[2024-03-28 02:19:52] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 3, Z= 141
[2024-03-28 02:20:08] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 5, Z= 196
[2024-03-28 02:20:19] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 6, Z= 193
[2024-03-28 02:20:22] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 7, Z= 192
[2024-03-28 02:20:28] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 8, Z= 191
[2024-03-28 02:20:38] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 9, Z= 190
[2024-03-28 02:20:41] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 11, Z= 190
[2024-03-28 02:20:46] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 14, Z= 190
[2024-03-28 02:20:50] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 44, Y= 15, Z= 190
[2024-03-28 02:21:35] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 22, Y= 16, Z= 206
[2024-03-28 02:21:43] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 15, Y= 4, Z= 207
[2024-03-28 02:21:45] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 15, Y= 4, Z= 208
[2024-03-28 02:22:01] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 15, Y= 2, Z= 222
[2024-03-28 02:22:16] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 14, Y= 11, Z= 236
[2024-03-28 02:22:30] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 16, Y= 3, Z= 223
[2024-03-28 02:22:33] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 14, Y= 2, Z= 223
[2024-03-28 02:22:37] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 16, Y= 4, Z= 224
[2024-03-28 02:22:41] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 19, Y= 7, Z= 225
[2024-03-28 02:22:44] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 21, Y= 6, Z= 225
[2024-03-28 02:22:49] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 19, Y= 14, Z= 228
[2024-03-28 02:22:54] [world_the_end] The Player <Heinrich_Himmler> has collected WATER BUCKET at X= 19, Y= 15, Z= 228
